Manager,    Package,                                               Comments
p,          nvidia,                                                NVIDIA driver
p,          nvidia-utils,                                          NVIDIA driver utilities
p,          nvidia-container-toolkit,                              For Docker
p,          nvtop,                                                 top for NVIDIA GPUs
